Year,Month,Temperature,Precipitation
2014,11,26.2,23.8
2014,12,28.9,0.0
2015,1,33.0,18.6
2015,2,32.3,23.4
2015,3,29.5,15.6
2015,4,25.4,54.0
2015,5,21.3,83.8
2015,6,21.0,100.4
2015,7,18.7,102.4
2015,8,19.3,113.0
2015,9,22.5,52.0
2015,10,26.8,20.6
2015,11,28.4,20.4
2015,12,29.4,13.6
2016,1,32.0,15.2
2016,2,32.2,0.6
2016,3,29.6,16.8
2016,4,25.0,68.2
2016,5,20.8,112.0
2016,6,18.6,109.4
2016,7,17.7,139.6
2016,8,17.7,123.2
2016,9,18.5,68.8
2016,10,21.8,37.4
2016,11,27.7,14.4
2016,12,28.4,10.2
2017,1,31.0,45.4
2017,2,30.1,137.2
2017,3,27.9,23.6
2017,4,27.0,0.0
2017,5,22.7,70.8
2017,6,21.4,88.0
2017,7,18.4,172.6
2017,8,18.7,151.6
2017,9,20.7,77.4
2017,10,23.1,42.0
2017,11,29.3,4.8
2017,12,29.7,40.6
2018,1,30.8,106.2
2018,2,29.9,0.2
2018,3,29.8,2.6
2018,4,26.1,20.6
2018,5,23.9,67.4
2018,6,19.2,126.4
2018,7,19.2,152.0
2018,8,18.4,186.0
2018,9,20.5,35.2
2018,10,23.5,40.0
2018,11,25.2,3.2
2018,12,29.6,1.8
2019,1,30.5,7.2
2019,2,31.3,0.2
2019,3,30.1,6.2
2019,4,25.6,44.2
2019,5,22.2,17.8
2019,6,19.8,212.0
2019,7,19.3,108.6
2019,8,20.2,114.2
2019,9,22.9,31.4
2019,11,29.1,18.2
2019,12,33.1,2.4
2020,1,30.5,3.0
2020,2,32.3,34.4
2020,3,29.7,32.8
2020,4,26.4,13.2
2020,5,22.0,111.6
2020,6,21.2,115.4
2020,7,19.4,83.4
2020,8,19.1,92.8
2020,9,21.6,77.8
2020,10,25.3,12.6
2020,11,24.7,92.0
2020,12,31.7,4.4
2021,1,32.9,0.2
2021,2,30.1,38.6
2021,3,29.9,40.6
2021,4,27.1,40.6
2021,5,22.2,113.6
2021,6,18.7,93.6
2021,7,18.3,271.4
2021,8,19.6,56.8
2021,9,21.5,62.2
2021,10,21.5,122.8
2021,11,26.1,48.0
2021,12,31.7,3.6
2022,1,33.7,0.0
2022,2,34.5,1.6
2022,3,30.2,5.0
2022,4,25.9,76.2
2022,5,22.2,87.4
2022,6,19.9,60.8
2022,7,19.0,157.0
2022,8,18.6,174.4
2022,9,21.1,77.0
2022,10,22.1,26.4
2022,11,25.5,34.8
2022,12,29.7,1.0
2023,1,32.4,0.4
2023,2,32.0,0.0
2023,3,29.8,41.8
2023,4,23.7,45.4
2023,5,22.4,26.4
2023,6,17.4,228.6
2023,7,18.6,120.6
2023,8,20.4,75.0
2023,9,22.3,44.8
2023,10,26.2,8.2
2023,11,30.3,5.2
2023,12,31.0,0.0
2024,1,32.1,1.8
2024,2,34.6,5.0
2024,3,30.2,1.6
2024,4,28.2,1.2
2024,5,24.9,76.0
2024,6,20.3,118.6
2024,7,19.5,170.0
2024,8,19.9,138.4
2024,9,22.6,39.2
2024,10,24.6,47.6
2024,11,26.3,10.4
2024,12,31.0,3.8
2025,1,32.8,5.4
2025,2,31.0,0.0
2025,3,31.7,19.0
2025,4,26.8,9.2
2025,5,24.3,62.4
2025,8,19.2,203.8
2025,9,21.3,98.6
2025,10,22.7,54.6
2025,11,26.9,16.8
2025,12,31.0,15.8
2026,1,31.3,1.8
2026,2,32.2,5.8
2026,3,29.9,72.6
2026,4,24.2,37.8
2026,5,22.2,53.2
2026,6,19.0,121.6
2026,7,19.7,56.8
